Chromosome	Source	Type	Start	Stop	Score	Strand	Phase	Name	GeneID	BioType	Function	Length	rna_10	rna_16	rna_KI01
chr1	EviAnn	gene	984400	1026088	.	-	.	LOC_00000001	geneID=LOC_00000001	protein_coding	Tubgcp2:_Gamma-tubulin_complex_component_2_(Mus_musculus)	2716.18	8.63665	9.71211	2.63244
chr1	EviAnn	gene	1025528	1034673	.	+	.	LOC_00000002	geneID=LOC_00000002	protein_coding	ZNF511:_Zinc_finger_protein_511_(Homo_sapiens)	2306	0.964919	0	13.611
chr1	EviAnn	gene	1025711	1042526	.	+	.	LOC_00000004	geneID=LOC_00000004	protein_coding	pol:_RNA-directed_DNA_polymerase_from_mobile_element_jockey_(Drosophila_melanogaster)	10819.8	22.3569	17.2829	38.1837
chr1	EviAnn	gene	1026097	1034673	.	+	.	LOC_00000003	geneID=LOC_00000003	protein_coding	function_unknown	2312	0	0	0
chr1	EviAnn	gene	1047271	1055060	.	+	.	LOC_00000005	geneID=LOC_00000005	protein_coding	CYB561:_Transmembrane_ascorbate-dependent_reductase_CYB561_(Pongo_abelii)	1420	0	1.10735	0
chr1	EviAnn	gene	1107424	1118926	.	-	.	LOC_00000006	geneID=LOC_00000006	protein_coding	pol:_RNA-directed_DNA_polymerase_from_mobile_element_jockey_(Drosophila_melanogaster)	6247	174.87	171.911	228.313
chr1	EviAnn	gene	1487338	1588891	.	+	.	LOC_00000007	geneID=LOC_00000007	protein_coding	LRFN5:_Leucine-rich_repeat_and_fibronectin_type-III_domain-containing_protein_5_(Homo_sapiens)	2362.33	0	2.96415	2.2006
chr1	EviAnn	gene	3094764	3111578	.	-	.	LOC_00000008	geneID=LOC_00000008	protein_coding	function_unknown	765	0	7.98018	0
chr1	EviAnn	gene	3345796	3346116	.	-	.	LOC_00000009	geneID=LOC_00000009	protein_coding	A551L:_Deoxyuridine_5'-triphosphate_nucleotidohydrolase_(Paramecium_bursaria_Chlorella_virus_1)	321	0	0	0
chr1	EviAnn	gene	3363459	3369356	.	+	.	XLOC_000005U_lncRNA	geneID=XLOC_000005U_lncRNA	lncRNA	function_unknown	1071	22.7785	41.8327	24.5012
