Chromosome	Source	Type	Start	Stop	Score	Strand	Phase	Name	GeneID	BioType	Function	Length	SRR2889295	SRR2889296	SRR2889297
NC_052532.1	Gnomon	gene	13550	19518	.	-	.	gene-LOC124418406	Name=LOC124418406	lncRNA	Dbxref=GeneID:124418406	NA	NA	NA	NA
NC_052532.1	Gnomon	gene	31798	34698	.	+	.	gene-LOC121106832	Name=LOC121106832	lncRNA	Dbxref=CGNC:86713,GeneID:121106832	NA	NA	NA	NA
NC_052532.1	Gnomon	gene	38611	40827	.	+	.	gene-LOC107049418	Name=LOC107049418	lncRNA	Dbxref=CGNC:72437,GeneID:107049418	NA	NA	NA	NA
NC_052532.1	Gnomon	gene	50214	53685	.	+	.	gene-LOC124417607	Name=LOC124417607	lncRNA	Dbxref=GeneID:124417607	NA	NA	NA	NA
NC_052532.1	Gnomon	gene	51035	60654	.	-	.	gene-RNF212B	Name=RNF212B	lncRNA	Dbxref=CGNC:55930,GeneID:770305	NA	NA	NA	NA
NC_052532.1	Gnomon	gene	60808	79345	.	-	.	gene-CARMIL3	Name=CARMIL3	protein_coding	Dbxref=CGNC:68591,GeneID:101749117	3282	1.9247	2.2616	1.7716
NC_052532.1	BestRefSeq%2CGnomon	gene	79763	83193	.	+	.	gene-DHRS4	Name=DHRS4	protein_coding	Dbxref=CGNC:52723,GeneID:426247	807.28	192.945	208.003	198.17
NC_052532.1	Gnomon	gene	85609	88122	.	-	.	gene-LOC121106805	Name=LOC121106805	protein_coding	Dbxref=CGNC:86686,GeneID:121106805	1848	0.20859	0.338559	0.160027
NC_052532.1	cmsearch	gene	87932	88122	.	-	.	gene-LOC121110902	Name=LOC121110902	snRNA	Dbxref=CGNC:90764,GeneID:121110902	NA	NA	NA	NA
NC_052532.1	Gnomon	gene	90445	92960	.	-	.	gene-LOC121107380	Name=LOC121107380	protein_coding	Dbxref=CGNC:87259,GeneID:121107380	1848	0.20859	0.338559	0.160027
NC_052532.1	cmsearch	gene	92770	92960	.	-	.	gene-LOC121110878	Name=LOC121110878	snRNA	Dbxref=CGNC:90740,GeneID:121110878	NA	NA	NA	NA
NC_052532.1	Gnomon	gene	95295	97810	.	-	.	gene-LOC121107381	Name=LOC121107381	protein_coding	Dbxref=CGNC:87260,GeneID:121107381	1848	0.20859	0.338559	0.160027
NC_052532.1	cmsearch	gene	97620	97810	.	-	.	gene-LOC112531646	Name=LOC112531646	snRNA	Dbxref=CGNC:85326,GeneID:112531646	NA	NA	NA	NA
NC_052532.1	Gnomon	gene	100150	102666	.	-	.	gene-LOC121107383	Name=LOC121107383	protein_coding	Dbxref=CGNC:87262,GeneID:121107383	1848	0.20859	0.338559	0.160027
NC_052532.1	cmsearch	gene	102476	102666	.	-	.	gene-LOC121110879	Name=LOC121110879	snRNA	Dbxref=CGNC:90741,GeneID:121110879	NA	NA	NA	NA
NC_052532.1	cmsearch	gene	107338	107528	.	-	.	gene-LOC121110880	Name=LOC121110880	snRNA	Dbxref=CGNC:90742,GeneID:121110880	NA	NA	NA	NA
NC_052532.1	cmsearch	gene	112199	112389	.	-	.	gene-LOC121109522	Name=LOC121109522	snRNA	Dbxref=CGNC:89388,GeneID:121109522	NA	NA	NA	NA
NC_052532.1	cmsearch	gene	117042	117232	.	-	.	gene-LOC121109525	Name=LOC121109525	snRNA	Dbxref=CGNC:89391,GeneID:121109525	NA	NA	NA	NA
NC_052532.1	cmsearch	gene	121885	122075	.	-	.	gene-LOC121109523	Name=LOC121109523	snRNA	Dbxref=CGNC:89389,GeneID:121109523	NA	NA	NA	NA
NC_052532.1	cmsearch	gene	126722	126912	.	-	.	gene-LOC112531610	Name=LOC112531610	snRNA	Dbxref=CGNC:85291,GeneID:112531610	NA	NA	NA	NA
NC_052532.1	Gnomon	gene	130937	295852	.	-	.	gene-CLC2DL4	Name=CLC2DL4	protein_coding	Dbxref=GeneID:100857569	1140	19.7955	14.3624	23.6656
NC_052532.1	Gnomon	gene	144033	146764	.	+	.	gene-LOC121113333	Name=LOC121113333	protein_coding	Dbxref=CGNC:93177,GeneID:121113333	768	17.1311	4.61088	23.1234
NC_052532.1	Gnomon	gene	150386	251040	.	+	.	gene-LOC112532872	Name=LOC112532872	protein_coding	Dbxref=CGNC:85838,GeneID:112532872	668.01	51.0737	36.2076	44.3459
NC_052532.1	Gnomon	gene	157340	160056	.	+	.	gene-LOC776463	Name=LOC776463	protein_coding	Dbxref=GeneID:776463	597	12.3125	11.3561	10.4243
NC_052532.1	Gnomon	gene	163188	167315	.	-	.	gene-LOC121113327	Name=LOC121113327	protein_coding	Dbxref=CGNC:93171,GeneID:121113327	871.094	20.364	15.0415	21.3028
NC_052532.1	Gnomon	gene	174396	177013	.	+	.	gene-LOC121113351	Name=LOC121113351	protein_coding	Dbxref=CGNC:93195,GeneID:121113351	768	3.25596	0	5.72654
NC_052532.1	Gnomon	gene	187294	189883	.	+	.	gene-LOC121109244	Name=LOC121109244	protein_coding	Dbxref=CGNC:89110,GeneID:121109244	768	4.25918	2.33648	3.62371
NC_052532.1	Gnomon	gene	202153	205570	.	+	.	gene-LOC121109239	Name=LOC121109239	protein_coding	Dbxref=CGNC:89105,GeneID:121109239	597	3.77083	6.11919	3.50239
NC_052532.1	Gnomon	gene	219372	220976	.	+	.	gene-LOC101747821	Name=LOC101747821	protein_coding	Dbxref=CGNC:67314,GeneID:101747821	612	6.12431	4.45915	4.60428
NC_052532.1	Gnomon	gene	235495	237160	.	+	.	gene-LOC121113360	Name=LOC121113360	protein_coding	Dbxref=CGNC:93204,GeneID:121113360	597	6.03889	5.45016	4.00834
