"Chromosome","Source","Type","Start","Stop","Score","Strand","Phase","Name","GeneID","BioType","Function","Length","rna_10","rna_16","rna_KI01","Mmean","value"
"chr1","EviAnn","gene",984400,1026088,".","-",".","LOC_00000001","geneID=LOC_00000001","protein_coding","Tubgcp2:_Gamma-tubulin_complex_component_2_(Mus_musculus)",2716.18,8.63665,9.71211,2.63244,6.99373333333333,2.80606278802705
"chr1","EviAnn","gene",1025711,1042526,".","+",".","LOC_00000004","geneID=LOC_00000004","protein_coding","pol:_RNA-directed_DNA_polymerase_from_mobile_element_jockey_(Drosophila_melanogaster)",10819.8,22.3569,17.2829,38.1837,25.9411666666667,4.69717145907086
"chr1","EviAnn","gene",1107424,1118926,".","-",".","LOC_00000006","geneID=LOC_00000006","protein_coding","pol:_RNA-directed_DNA_polymerase_from_mobile_element_jockey_(Drosophila_melanogaster)",6247,174.87,171.911,228.313,191.698,7.58269147511082
"chr1","EviAnn","gene",1487338,1588891,".","+",".","LOC_00000007","geneID=LOC_00000007","protein_coding","LRFN5:_Leucine-rich_repeat_and_fibronectin_type-III_domain-containing_protein_5_(Homo_sapiens)",2362.33,0,2.96415,2.2006,1.72158333333333,0.783736016328656
"chr1","EviAnn","gene",3371189,3390843,".","-",".","LOC_00000010","geneID=LOC_00000010","protein_coding","tc1a:_Transposable_element_Tc1_transposase_(Caenorhabditis_elegans)",15887,1.77148,10.4743,1.97734,4.74104,2.24520356508671
"chr1","EviAnn","gene",3414851,3466752,".","+",".","LOC_00000013","geneID=LOC_00000013","protein_coding","Togaram1:_TOG_array_regulator_of_axonemal_microtubules_protein_1_(Mus_musculus)",2272.07,82.8845,51.8367,63.8802,66.2004666666667,6.04876948193969
"chr1","EviAnn","gene",3477124,3518037,".","+",".","LOC_00000014","geneID=LOC_00000014","protein_coding","PRPF39:_Pre-mRNA-processing_factor_39_(Homo_sapiens)",4516.69,70.1084,49.5087,58.3751,59.3307333333333,5.89070770963917
"chr1","EviAnn","gene",3521818,3536191,".","-",".","LOC_00000015","geneID=LOC_00000015","protein_coding","FKBP3:_Peptidyl-prolyl_cis-trans_isomerase_FKBP3_(Bos_taurus)",8851,232.311,172.809,299.642,234.920666666667,7.87602982686253
"chr1","EviAnn","gene",3528534,3596164,".","+",".","LOC_00000016","geneID=LOC_00000016","protein_coding","FANCM:_Fanconi_anemia_group_M_protein_(Gallus_gallus)",11907.2,1.54124,2.13649,1.08531,1.58768,0.666920163781602
"chr1","EviAnn","gene",3592972,3629693,".","-",".","LOC_00000017","geneID=LOC_00000017","protein_coding","MIS18BP1:_Mis18-binding_protein_1_(Homo_sapiens)",4236.12,62.9831,50.6818,57.5325,57.0658,5.83455448053802
"chr1","EviAnn","gene",4548991,4549821,".","+",".","LOC_00000021","geneID=LOC_00000021","protein_coding","F52C9.6:_Putative_uncharacterized_transposon-derived_protein_F52C9.6_(Caenorhabditis_elegans)",831,3.12997,3.58356,11.1826,5.96537666666667,2.5766132356532
"chr1","EviAnn","gene",5759677,5782594,".","+",".","LOC_00000023","geneID=LOC_00000023","protein_coding","pol:_RNA-directed_DNA_polymerase_from_mobile_element_jockey_(Drosophila_melanogaster)",22918,54.8657,68.5541,193.383,105.600933333333,6.72247877550728
"chr1","EviAnn","gene",5761831,5782581,".","+",".","LOC_00000024","geneID=LOC_00000024","protein_coding","function_unknown",13427,6.6588,35.4618,31.6635,24.5947,4.62027555242261
"chr1","EviAnn","gene",5805157,5818362,".","-",".","LOC_00000025","geneID=LOC_00000025","protein_coding","function_unknown",10881,83.079,125.577,129.077,112.577666666667,6.81477684148256
"chr1","EviAnn","gene",5931556,5937422,".","+",".","LOC_00000026","geneID=LOC_00000026","protein_coding","rps29:_Small_ribosomal_subunit_protein_uS14_(Ictalurus_punctatus)",3601,224.247,111.334,130.06,155.213666666667,7.27811178315131
"chr1","EviAnn","gene",5937462,5953984,".","+",".","LOC_00000027","geneID=LOC_00000027","protein_coding","SCAND3:_SCAN_domain-containing_protein_3_(Homo_sapiens)",4864.76,148.565,115.196,175.058,146.273,7.19251968200603
"chr1","EviAnn","gene",5966276,5982187,".","+",".","LOC_00000029","geneID=LOC_00000029","protein_coding","LRR1:_Leucine-rich_repeat_protein_1_(Homo_sapiens)",4613.88,30.4087,35.4319,25.75,30.5302,4.93216513540038
"chr1","EviAnn","gene",5988509,6015265,".","-",".","LOC_00000030","geneID=LOC_00000030","protein_coding","DNAAF2:_Protein_kintoun_(Homo_sapiens)",2955,104.504,61.922,71.5832,79.3364,6.30991102955254
"chr1","EviAnn","gene",6018721,6052455,".","-",".","LOC_00000031","geneID=LOC_00000031","protein_coding","POLE2:_DNA_polymerase_epsilon_subunit_2_(Gallus_gallus)",8227.36,156.413,101.938,118.008,125.453,6.97100316058855
"chr1","EviAnn","gene",6057054,6087198,".","+",".","LOC_00000032","geneID=LOC_00000032","protein_coding","KLHDC1:_Kelch_domain-containing_protein_1_(Homo_sapiens)",5140.42,15.306,7.32272,15.3749,12.6678733333333,3.66310244186204
"chr1","EviAnn","gene",6091846,6120787,".","+",".","LOC_00000033","geneID=LOC_00000033","protein_coding","KLHDC2:_Kelch_domain-containing_protein_2_(Homo_sapiens)",2483.07,53.6258,23.5089,18.8467,31.9938,4.99972045075362
"chr1","EviAnn","gene",6121776,6152800,".","-",".","LOC_00000034","geneID=LOC_00000034","protein_coding","Nemf:_Ribosome_quality_control_complex_subunit_NEMF_(Mus_musculus)",3809.69,51.507,29.2575,31.043,37.2691666666667,5.21991065585624
"chr1","EviAnn","gene",6162041,6206735,".","+",".","LOC_00000035","geneID=LOC_00000035","protein_coding","Arf6:_ADP-ribosylation_factor_6_(Rattus_norvegicus)",24010.6,12.8918,4.25813,8.13292,8.42761666666667,3.07512469411769
"chr1","EviAnn","gene",6241383,6252536,".","-",".","LOC_00000036","geneID=LOC_00000036","protein_coding","Vcpkmt:_Protein_N-lysine_methyltransferase_METTL21D_(Mus_musculus)",2197.42,201.856,131.874,154.88,162.87,7.34757707947572
"chr1","EviAnn","gene",6241431,6249685,".","-",".","LOC_00000037","geneID=LOC_00000037","protein_coding","function_unknown",5785,20.2748,6.76395,12.6266,13.2217833333333,3.72484487329427
"chr1","EviAnn","gene",6252681,6304380,".","-",".","LOC_00000038","geneID=LOC_00000038","protein_coding","SOS2:_Son_of_sevenless_homolog_2_(Homo_sapiens)",10919,211.52,135.071,157.156,167.915666666667,7.39159303093634
"chr1","EviAnn","gene",6307606,6346315,".","-",".","LOC_00000039","geneID=LOC_00000039","protein_coding","L2HGDH:_L-2-hydroxyglutarate_dehydrogenase,_mitochondrial_(Bos_taurus)",18226.9,54.7188,60.4014,59.4954,58.2052,5.86307614285067
"chr1","EviAnn","gene",6397940,6509961,".","-",".","LOC_00000042","geneID=LOC_00000042","protein_coding","MAP4K5:_Mitogen-activated_protein_kinase_kinase_kinase_kinase_5_(Homo_sapiens)",4030,0.52255,0,0,0.174183333333333,-2.52132150807846
"chr1","EviAnn","gene",6548633,6593342,".","+",".","LOC_00000043","geneID=LOC_00000043","protein_coding","ATL1:_Atlastin-1_(Macaca_fascicularis)",2644,15.5362,6.17155,9.83225,10.5133333333333,3.39414825429463
"chr1","EviAnn","gene",6629968,6784357,".","-",".","LOC_00000045","geneID=LOC_00000045","protein_coding","NIN:_Ninein_(Homo_sapiens)",16079.2,84.172,78.6856,87.4322,83.4299333333333,6.38249318747389
"chr1","EviAnn","gene",6839434,6882891,".","-",".","LOC_00000047","geneID=LOC_00000047","protein_coding","PYGL:_Glycogen_phosphorylase,_liver_form_(Bos_taurus)",3181,1.34177,3.09472,0,1.47883,0.564456215889768
"chr1","EviAnn","gene",6903486,6986488,".","-",".","LOC_00000048","geneID=LOC_00000048","protein_coding","TRIM9:_E3_ubiquitin-protein_ligase_TRIM9_(Bos_taurus)",2323.65,0,0,1.49416,0.498053333333333,-1.0056278553738
"chr1","EviAnn","gene",7037868,7083729,".","+",".","LOC_00000049","geneID=LOC_00000049","protein_coding","DDHD1:_Phospholipase_DDHD1_(Homo_sapiens)",5693,0.413228,2.30844,0.277257,0.999641666666667,-0.000517058368143163
"chr1","EviAnn","gene",7038022,7083729,".","+",".","LOC_00000050","geneID=LOC_00000050","protein_coding","function_unknown",6408,12.2169,22.9629,16.0736,17.0844666666667,4.09461330610992
"chr1","EviAnn","gene",7116644,7275712,".","+",".","LOC_00000051","geneID=LOC_00000051","protein_coding","FERMT2:_Fermitin_family_homolog_2_(Homo_sapiens)",3812.81,13.847,5.91823,5.62292,8.46271666666667,3.08112086575399
