Chromosome	Source	Type	Start	Stop	Score	Strand	Phase	Name	GeneID	BioType	Function	Chr	length	TPM_SRR6344890	TPM_SRR6344891	TPM_SRR6344901	Fmean	log_2
chr1	EviAnn	gene	984400	1026088	.	-	.	LOC_00000001	geneID=LOC_00000001	protein_coding	Tubgcp2:_Gamma-tubulin_complex_component_2_(Mus_musculus)	chr1	7106	50.9978409237	51.7227058176	85.8533247089	62.8579571501	5.974023481
chr1	EviAnn	gene	1025528	1034673	.	+	.	LOC_00000002	geneID=LOC_00000002	protein_coding	ZNF511:_Zinc_finger_protein_511_(Homo_sapiens)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	1025711	1042526	.	+	.	LOC_00000004	geneID=LOC_00000004	protein_coding	pol:_RNA-directed_DNA_polymerase_from_mobile_element_jockey_(Drosophila_melanogaster)	chr1	14286	9.5421986682	11.3495966818	10.9098593735	10.6005515745	3.4060674288
chr1	EviAnn	gene	1026097	1034673	.	+	.	LOC_00000003	geneID=LOC_00000003	protein_coding	function_unknown	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	1047271	1055060	.	+	.	LOC_00000005	geneID=LOC_00000005	protein_coding	CYB561:_Transmembrane_ascorbate-dependent_reductase_CYB561_(Pongo_abelii)	chr1	2278	2.2301329515	9.1865701377	7.9496244087	6.4554424993	2.6905159909
chr1	EviAnn	gene	1107424	1118926	.	-	.	LOC_00000006	geneID=LOC_00000006	protein_coding	pol:_RNA-directed_DNA_polymerase_from_mobile_element_jockey_(Drosophila_melanogaster)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	1487338	1588891	.	+	.	LOC_00000007	geneID=LOC_00000007	protein_coding	LRFN5:_Leucine-rich_repeat_and_fibronectin_type-III_domain-containing_protein_5_(Homo_sapiens)	chr1	3313	1.8741882651	0.4777285838	1.0753016326	1.1424061605	0.1920756643
chr1	EviAnn	gene	3094764	3111578	.	-	.	LOC_00000008	geneID=LOC_00000008	protein_coding	function_unknown	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	3345796	3346116	.	-	.	LOC_00000009	geneID=LOC_00000009	protein_coding	A551L:_Deoxyuridine_5'-triphosphate_nucleotidohydrolase_(Paramecium_bursaria_Chlorella_virus_1)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	3363459	3369356	.	+	.	XLOC_000005U_lncRNA	geneID=XLOC_000005U_lncRNA	lncRNA	function_unknown	chr1	1071	3.4258303365	8.2099533044	11.0876884805	7.5744907071	2.9211488881
chr1	EviAnn	gene	3371189	3390843	.	-	.	LOC_00000010	geneID=LOC_00000010	protein_coding	tc1a:_Transposable_element_Tc1_transposase_(Caenorhabditis_elegans)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	3373719	3391684	.	-	.	LOC_00000011	geneID=LOC_00000011	protein_coding	TMX1:_Thioredoxin-related_transmembrane_protein_1_(Homo_sapiens)	chr1	12176	0.9735463219	1.7909241765	2.1212170449	1.6285625144	0.7035991005
chr1	EviAnn	gene	3392570	3452900	.	-	.	LOC_00000012	geneID=LOC_00000012	protein_coding	Klhl28:_Kelch-like_protein_28_(Mus_musculus)	chr1	12146	28.2328662353	27.6396669175	34.4876999953	30.120077716	4.9126535874
chr1	EviAnn	gene	3414851	3466752	.	+	.	LOC_00000013	geneID=LOC_00000013	protein_coding	Togaram1:_TOG_array_regulator_of_axonemal_microtubules_protein_1_(Mus_musculus)	chr1	5313	83.4542269353	68.9460845363	99.8516467441	84.0839860719	6.393759158
chr1	EviAnn	gene	3477124	3518037	.	+	.	LOC_00000014	geneID=LOC_00000014	protein_coding	PRPF39:_Pre-mRNA-processing_factor_39_(Homo_sapiens)	chr1	5136	170.3525536213	167.3998928588	190.2275271004	175.9933245268	7.4593768979
chr1	EviAnn	gene	3521818	3536191	.	-	.	LOC_00000015	geneID=LOC_00000015	protein_coding	FKBP3:_Peptidyl-prolyl_cis-trans_isomerase_FKBP3_(Bos_taurus)	chr1	8851	66.612858196	74.8053730845	57.4560171258	66.2914161354	6.0507501673
chr1	EviAnn	gene	3528534	3596164	.	+	.	LOC_00000016	geneID=LOC_00000016	protein_coding	FANCM:_Fanconi_anemia_group_M_protein_(Gallus_gallus)	chr1	12896	127.9646575317	115.6926553141	155.7569606423	133.1380911627	7.056779579
chr1	EviAnn	gene	3592972	3629693	.	-	.	LOC_00000017	geneID=LOC_00000017	protein_coding	MIS18BP1:_Mis18-binding_protein_1_(Homo_sapiens)	chr1	4406	2.6903994587	5.1487922768	2.1561351544	3.33177563	1.7362912493
chr1	EviAnn	gene	3743897	3751391	.	-	.	LOC_00000018	geneID=LOC_00000018	protein_coding	function_unknown	chr1	7495	1.7322005168	1.3139430537	1.4655498046	1.5038977917	0.5887065215
chr1	EviAnn	gene	4082487	4088442	.	+	.	XLOC_000006U_lncRNA	geneID=XLOC_000006U_lncRNA	lncRNA	function_unknown	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	4301178	4980788	.	-	.	LOC_00000019	geneID=LOC_00000019	protein_coding	MDGA2:_MAM_domain-containing_glycosylphosphatidylinositol_anchor_protein_2_(Homo_sapiens)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	4359741	4360256	.	+	.	LOC_00000020	geneID=LOC_00000020	processed_pseudogene	pseudo=true	chr1	516	455.0777414429	507.8047047902	446.4599585959	469.7808016097	8.8758439461
chr1	EviAnn	gene	4548991	4549821	.	+	.	LOC_00000021	geneID=LOC_00000021	protein_coding	F52C9.6:_Putative_uncharacterized_transposon-derived_protein_F52C9.6_(Caenorhabditis_elegans)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	5692739	5705226	.	-	.	LOC_00000022	geneID=LOC_00000022	protein_coding	Hjv:_Hemojuvelin_(Mus_musculus)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	5759677	5782594	.	+	.	LOC_00000023	geneID=LOC_00000023	protein_coding	pol:_RNA-directed_DNA_polymerase_from_mobile_element_jockey_(Drosophila_melanogaster)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	5761831	5782581	.	+	.	LOC_00000024	geneID=LOC_00000024	protein_coding	function_unknown	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	5805157	5818362	.	-	.	LOC_00000025	geneID=LOC_00000025	protein_coding	function_unknown	chr1	10881	5.498940493	3.4101524817	8.5670506155	5.8253811967	2.5423524588
chr1	EviAnn	gene	5931556	5937422	.	+	.	LOC_00000026	geneID=LOC_00000026	protein_coding	rps29:_Small_ribosomal_subunit_protein_uS14_(Ictalurus_punctatus)	chr1	3601	13.7943587274	24.808513604	21.929514166	20.1774621658	4.3346728248
chr1	EviAnn	gene	5937462	5953984	.	+	.	LOC_00000027	geneID=LOC_00000027	protein_coding	SCAND3:_SCAN_domain-containing_protein_3_(Homo_sapiens)	chr1	8382	74.414331826	70.0323708977	72.0754316631	72.1740447956	6.1734082038
chr1	EviAnn	gene	5954052	5959849	.	-	.	LOC_00000028	geneID=LOC_00000028	protein_coding	rps29:_Small_ribosomal_subunit_protein_uS14_(Ictalurus_punctatus)	chr1	3538	42.9974703769	41.752416002	40.276702191	41.6755295233	5.3811286249
chr1	EviAnn	gene	5966276	5982187	.	+	.	LOC_00000029	geneID=LOC_00000029	protein_coding	LRR1:_Leucine-rich_repeat_protein_1_(Homo_sapiens)	chr1	6232	31.8375653715	32.7615868011	43.4448086439	36.0146536055	5.1705121232
chr1	EviAnn	gene	5988509	6015265	.	-	.	LOC_00000030	geneID=LOC_00000030	protein_coding	DNAAF2:_Protein_kintoun_(Homo_sapiens)	chr1	2955	5.062095728	3.9277750205	3.9181189521	4.3026632335	2.105229926
chr1	EviAnn	gene	6018721	6052455	.	-	.	LOC_00000031	geneID=LOC_00000031	protein_coding	POLE2:_DNA_polymerase_epsilon_subunit_2_(Gallus_gallus)	chr1	10956	69.5027344023	62.0219258807	79.0414503374	70.1887035401	6.1331669508
chr1	EviAnn	gene	6057054	6087198	.	+	.	LOC_00000032	geneID=LOC_00000032	protein_coding	KLHDC1:_Kelch_domain-containing_protein_1_(Homo_sapiens)	chr1	9921	7.823286113	10.6709035649	10.1441285378	9.5461060719	3.254912367
chr1	EviAnn	gene	6091846	6120787	.	+	.	LOC_00000033	geneID=LOC_00000033	protein_coding	KLHDC2:_Kelch_domain-containing_protein_2_(Homo_sapiens)	chr1	4031	114.1965890811	129.7006834396	153.7758694444	132.5577139884	7.0504768178
chr1	EviAnn	gene	6121776	6152800	.	-	.	LOC_00000034	geneID=LOC_00000034	protein_coding	Nemf:_Ribosome_quality_control_complex_subunit_NEMF_(Mus_musculus)	chr1	5104	181.097563766	165.4863108428	229.1690957526	191.9176567872	7.5843436381
chr1	EviAnn	gene	6162041	6206735	.	+	.	LOC_00000035	geneID=LOC_00000035	protein_coding	Arf6:_ADP-ribosylation_factor_6_(Rattus_norvegicus)	chr1	25308	13.1705539353	9.8671259557	16.3169806765	13.1182201892	3.7135000909
chr1	EviAnn	gene	6241383	6252536	.	-	.	LOC_00000036	geneID=LOC_00000036	protein_coding	Vcpkmt:_Protein_N-lysine_methyltransferase_METTL21D_(Mus_musculus)	chr1	4695	6.8530077677	8.3902050587	15.3653045268	10.2028391177	3.350898758
chr1	EviAnn	gene	6241431	6249685	.	-	.	LOC_00000037	geneID=LOC_00000037	protein_coding	function_unknown	chr1	5785	1.5124126455	1.0943576823	3.3356501019	1.9808068099	0.9860881796
chr1	EviAnn	gene	6252681	6304380	.	-	.	LOC_00000038	geneID=LOC_00000038	protein_coding	SOS2:_Son_of_sevenless_homolog_2_(Homo_sapiens)	chr1	10919	28.7431188465	22.4029091394	36.2968464927	29.1476248262	4.8653064212
chr1	EviAnn	gene	6307606	6346315	.	-	.	LOC_00000039	geneID=LOC_00000039	protein_coding	L2HGDH:_L-2-hydroxyglutarate_dehydrogenase,_mitochondrial_(Bos_taurus)	chr1	23971	21.876181962	15.6408806445	23.5927911444	20.3699512503	4.3483706225
chr1	EviAnn	gene	6345955	6363333	.	+	.	LOC_00000040	geneID=LOC_00000040	protein_coding	DMAC2L:_ATP_synthase_subunit_s,_mitochondrial_(Bos_taurus)	chr1	7782	23.6103122891	19.7506030079	21.401397319	21.5874375387	4.4321200983
chr1	EviAnn	gene	6361088	6392338	.	-	.	LOC_00000041	geneID=LOC_00000041	protein_coding	CDKL1:_Cyclin-dependent_kinase-like_1_(Homo_sapiens)	chr1	4431	1.719784314	4.286296	4.2209411242	3.4090071461	1.7693516237
chr1	EviAnn	gene	6397940	6509961	.	-	.	LOC_00000042	geneID=LOC_00000042	protein_coding	MAP4K5:_Mitogen-activated_protein_kinase_kinase_kinase_kinase_5_(Homo_sapiens)	chr1	4090	89.018110487	97.215923888	121.1444503134	102.4594948961	6.6789098745
chr1	EviAnn	gene	6548633	6593342	.	+	.	LOC_00000043	geneID=LOC_00000043	protein_coding	ATL1:_Atlastin-1_(Macaca_fascicularis)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	6592303	6609296	.	-	.	LOC_00000044	geneID=LOC_00000044	protein_coding	Sav1:_Protein_salvador_homolog_1_(Mus_musculus)	chr1	11042	48.5899378319	46.2815633544	54.094203264	49.6552348168	5.6338739143
chr1	EviAnn	gene	6629968	6784357	.	-	.	LOC_00000045	geneID=LOC_00000045	protein_coding	NIN:_Ninein_(Homo_sapiens)	chr1	18154	13.9920757508	10.403802609	13.9164263008	12.7707682202	3.6747734073
chr1	EviAnn	gene	6777016	6838777	.	+	.	LOC_00000046	geneID=LOC_00000046	protein_coding	ABHD12B:_Protein_ABHD12B_(Homo_sapiens)	chr1	1467	19.4313614036	15.1042993676	27.7243228985	20.7533278899	4.3752707926
chr1	EviAnn	gene	6839434	6882891	.	-	.	LOC_00000047	geneID=LOC_00000047	protein_coding	PYGL:_Glycogen_phosphorylase,_liver_form_(Bos_taurus)	chr1	3209	48.5491163864	44.6082145904	44.9611123422	46.0394811064	5.5247996684
