Chromosome	Source	Type	Start	Stop	Score	Strand	Phase	Name	GeneID	BioType	Function	Length	rna_30	rna_35	rna_L007
chr1	EviAnn	gene	984400	1026088	.	-	.	LOC_00000001	geneID=LOC_00000001	protein_coding	Tubgcp2:_Gamma-tubulin_complex_component_2_(Mus_musculus)	1854	8.45618	2.64104	0
chr1	EviAnn	gene	1025528	1034673	.	+	.	LOC_00000002	geneID=LOC_00000002	protein_coding	ZNF511:_Zinc_finger_protein_511_(Homo_sapiens)	495	0	0	0
chr1	EviAnn	gene	1025711	1042526	.	+	.	LOC_00000004	geneID=LOC_00000004	protein_coding	pol:_RNA-directed_DNA_polymerase_from_mobile_element_jockey_(Drosophila_melanogaster)	1020	440.539	347.436	618.939
chr1	EviAnn	gene	1026097	1034673	.	+	.	LOC_00000003	geneID=LOC_00000003	protein_coding	function_unknown	363	47.4697	0	0
chr1	EviAnn	gene	1047271	1055060	.	+	.	LOC_00000005	geneID=LOC_00000005	protein_coding	CYB561:_Transmembrane_ascorbate-dependent_reductase_CYB561_(Pongo_abelii)	598	0	0	0
chr1	EviAnn	gene	1107424	1118926	.	-	.	LOC_00000006	geneID=LOC_00000006	protein_coding	pol:_RNA-directed_DNA_polymerase_from_mobile_element_jockey_(Drosophila_melanogaster)	2886	718.595	636.643	668.673
chr1	EviAnn	gene	1487338	1588891	.	+	.	LOC_00000007	geneID=LOC_00000007	protein_coding	LRFN5:_Leucine-rich_repeat_and_fibronectin_type-III_domain-containing_protein_5_(Homo_sapiens)	2073	0	7.50398	0
chr1	EviAnn	gene	3094764	3111578	.	-	.	LOC_00000008	geneID=LOC_00000008	protein_coding	function_unknown	393	0	0	0
chr1	EviAnn	gene	3345796	3346116	.	-	.	LOC_00000009	geneID=LOC_00000009	protein_coding	A551L:_Deoxyuridine_5'-triphosphate_nucleotidohydrolase_(Paramecium_bursaria_Chlorella_virus_1)	321	0	0	0
chr1	EviAnn	gene	3363459	3369356	.	+	.	XLOC_000005U_lncRNA	geneID=XLOC_000005U_lncRNA	lncRNA	function_unknown	NA	NA	NA	NA
chr1	EviAnn	gene	3371189	3390843	.	-	.	LOC_00000010	geneID=LOC_00000010	protein_coding	tc1a:_Transposable_element_Tc1_transposase_(Caenorhabditis_elegans)	609	0	9.40869	0
chr1	EviAnn	gene	3373719	3391684	.	-	.	LOC_00000011	geneID=LOC_00000011	protein_coding	TMX1:_Thioredoxin-related_transmembrane_protein_1_(Homo_sapiens)	414	0	0	0
chr1	EviAnn	gene	3392570	3452900	.	-	.	LOC_00000012	geneID=LOC_00000012	protein_coding	Klhl28:_Kelch-like_protein_28_(Mus_musculus)	1322	0	0	0
chr1	EviAnn	gene	3414851	3466752	.	+	.	LOC_00000013	geneID=LOC_00000013	protein_coding	Togaram1:_TOG_array_regulator_of_axonemal_microtubules_protein_1_(Mus_musculus)	1009.5	67.7517	59.8291	65.7968
chr1	EviAnn	gene	3477124	3518037	.	+	.	LOC_00000014	geneID=LOC_00000014	protein_coding	PRPF39:_Pre-mRNA-processing_factor_39_(Homo_sapiens)	1342.58	36.4087	85.2558	94.8411
chr1	EviAnn	gene	3521818	3536191	.	-	.	LOC_00000015	geneID=LOC_00000015	protein_coding	FKBP3:_Peptidyl-prolyl_cis-trans_isomerase_FKBP3_(Bos_taurus)	678	18.6193	0	32.1864
chr1	EviAnn	gene	3528534	3596164	.	+	.	LOC_00000016	geneID=LOC_00000016	protein_coding	FANCM:_Fanconi_anemia_group_M_protein_(Gallus_gallus)	6042	1.61842	2.7483	2.22567
chr1	EviAnn	gene	3592972	3629693	.	-	.	LOC_00000017	geneID=LOC_00000017	protein_coding	MIS18BP1:_Mis18-binding_protein_1_(Homo_sapiens)	2281.3	20.2402	14.8802	43.1134
chr1	EviAnn	gene	3743897	3751391	.	-	.	LOC_00000018	geneID=LOC_00000018	protein_coding	function_unknown	51	0	0	0
chr1	EviAnn	gene	4082487	4088442	.	+	.	XLOC_000006U_lncRNA	geneID=XLOC_000006U_lncRNA	lncRNA	function_unknown	NA	NA	NA	NA
chr1	EviAnn	gene	4301178	4980788	.	-	.	LOC_00000019	geneID=LOC_00000019	protein_coding	MDGA2:_MAM_domain-containing_glycosylphosphatidylinositol_anchor_protein_2_(Homo_sapiens)	2871	0	0	0
chr1	EviAnn	gene	4359741	4360256	.	+	.	LOC_00000020	geneID=LOC_00000020	processed_pseudogene	pseudo=true	NA	NA	NA	NA
chr1	EviAnn	gene	4548991	4549821	.	+	.	LOC_00000021	geneID=LOC_00000021	protein_coding	F52C9.6:_Putative_uncharacterized_transposon-derived_protein_F52C9.6_(Caenorhabditis_elegans)	753	16.2359	63.5825	0
chr1	EviAnn	gene	5692739	5705226	.	-	.	LOC_00000022	geneID=LOC_00000022	protein_coding	Hjv:_Hemojuvelin_(Mus_musculus)	1236	0	15.3594	0
