"Chromosome","Source","Type","Start","Stop","Score","Strand","Phase","Name","GeneID","BioType","Function","Length","rna_30","rna_35","rna_L007","Fmean","value"
"chr1","EviAnn","gene",984400,1026088,".","-",".","LOC_00000001","geneID=LOC_00000001","protein_coding","Tubgcp2:_Gamma-tubulin_complex_component_2_(Mus_musculus)",1854,8.45618,2.64104,0,3.69907333333333,1.88716390186435
"chr1","EviAnn","gene",1025711,1042526,".","+",".","LOC_00000004","geneID=LOC_00000004","protein_coding","pol:_RNA-directed_DNA_polymerase_from_mobile_element_jockey_(Drosophila_melanogaster)",1020,440.539,347.436,618.939,468.971333333333,8.87335592803386
"chr1","EviAnn","gene",1107424,1118926,".","-",".","LOC_00000006","geneID=LOC_00000006","protein_coding","pol:_RNA-directed_DNA_polymerase_from_mobile_element_jockey_(Drosophila_melanogaster)",2886,718.595,636.643,668.673,674.637,9.39796763391301
"chr1","EviAnn","gene",1487338,1588891,".","+",".","LOC_00000007","geneID=LOC_00000007","protein_coding","LRFN5:_Leucine-rich_repeat_and_fibronectin_type-III_domain-containing_protein_5_(Homo_sapiens)",2073,0,7.50398,0,2.50132666666667,1.32269348199097
"chr1","EviAnn","gene",3371189,3390843,".","-",".","LOC_00000010","geneID=LOC_00000010","protein_coding","tc1a:_Transposable_element_Tc1_transposase_(Caenorhabditis_elegans)",609,0,9.40869,0,3.13623,1.64903136547731
"chr1","EviAnn","gene",3414851,3466752,".","+",".","LOC_00000013","geneID=LOC_00000013","protein_coding","Togaram1:_TOG_array_regulator_of_axonemal_microtubules_protein_1_(Mus_musculus)",1009.5,67.7517,59.8291,65.7968,64.4592,6.01031437817786
"chr1","EviAnn","gene",3477124,3518037,".","+",".","LOC_00000014","geneID=LOC_00000014","protein_coding","PRPF39:_Pre-mRNA-processing_factor_39_(Homo_sapiens)",1342.58,36.4087,85.2558,94.8411,72.1685333333333,6.17329803034619
"chr1","EviAnn","gene",3521818,3536191,".","-",".","LOC_00000015","geneID=LOC_00000015","protein_coding","FKBP3:_Peptidyl-prolyl_cis-trans_isomerase_FKBP3_(Bos_taurus)",678,18.6193,0,32.1864,16.9352333333333,4.0819559592821
"chr1","EviAnn","gene",3528534,3596164,".","+",".","LOC_00000016","geneID=LOC_00000016","protein_coding","FANCM:_Fanconi_anemia_group_M_protein_(Gallus_gallus)",6042,1.61842,2.7483,2.22567,2.19746333333333,1.13583909289564
"chr1","EviAnn","gene",3592972,3629693,".","-",".","LOC_00000017","geneID=LOC_00000017","protein_coding","MIS18BP1:_Mis18-binding_protein_1_(Homo_sapiens)",2281.3,20.2402,14.8802,43.1134,26.0779333333333,4.70475763593288
"chr1","EviAnn","gene",4548991,4549821,".","+",".","LOC_00000021","geneID=LOC_00000021","protein_coding","F52C9.6:_Putative_uncharacterized_transposon-derived_protein_F52C9.6_(Caenorhabditis_elegans)",753,16.2359,63.5825,0,26.6061333333333,4.73368695375705
"chr1","EviAnn","gene",5759677,5782594,".","+",".","LOC_00000023","geneID=LOC_00000023","protein_coding","pol:_RNA-directed_DNA_polymerase_from_mobile_element_jockey_(Drosophila_melanogaster)",789,22.9439,33.2525,26.3875,27.5279666666667,4.78282614513128
"chr1","EviAnn","gene",5761831,5782581,".","+",".","LOC_00000024","geneID=LOC_00000024","protein_coding","function_unknown",603,156.989,109.681,43.973,103.547666666667,6.69415123414574
"chr1","EviAnn","gene",5805157,5818362,".","-",".","LOC_00000025","geneID=LOC_00000025","protein_coding","function_unknown",339,427.793,359.217,283.565,356.858333333333,8.47920765237606
"chr1","EviAnn","gene",5931556,5937422,".","+",".","LOC_00000026","geneID=LOC_00000026","protein_coding","rps29:_Small_ribosomal_subunit_protein_uS14_(Ictalurus_punctatus)",171,228.771,98.9678,0,109.246266666667,6.77144016832426
"chr1","EviAnn","gene",5937462,5953984,".","+",".","LOC_00000027","geneID=LOC_00000027","protein_coding","SCAND3:_SCAN_domain-containing_protein_3_(Homo_sapiens)",1287,4.24641,7.32635,10.9442,7.50565333333333,2.90797765742038
"chr1","EviAnn","gene",5966276,5982187,".","+",".","LOC_00000029","geneID=LOC_00000029","protein_coding","LRR1:_Leucine-rich_repeat_protein_1_(Homo_sapiens)",1674,44.1774,16.2913,27.6592,29.3759666666667,4.87656442170577
"chr1","EviAnn","gene",5988509,6015265,".","-",".","LOC_00000030","geneID=LOC_00000030","protein_coding","DNAAF2:_Protein_kintoun_(Homo_sapiens)",2955,293.325,163.798,289.247,248.79,7.95878468794281
"chr1","EviAnn","gene",6018721,6052455,".","-",".","LOC_00000031","geneID=LOC_00000031","protein_coding","POLE2:_DNA_polymerase_epsilon_subunit_2_(Gallus_gallus)",1494,39.421,23.6495,56.2742,39.7815666666667,5.31402818799528
"chr1","EviAnn","gene",6057054,6087198,".","+",".","LOC_00000032","geneID=LOC_00000032","protein_coding","KLHDC1:_Kelch_domain-containing_protein_1_(Homo_sapiens)",894.333,0,0,12.1331,4.04436666666667,2.01591379946685
"chr1","EviAnn","gene",6091846,6120787,".","+",".","LOC_00000033","geneID=LOC_00000033","protein_coding","KLHDC2:_Kelch_domain-containing_protein_2_(Homo_sapiens)",1284,21.2891,25.7118,32.9213,26.6407333333333,4.73556189057739
"chr1","EviAnn","gene",6121776,6152800,".","-",".","LOC_00000034","geneID=LOC_00000034","protein_coding","Nemf:_Ribosome_quality_control_complex_subunit_NEMF_(Mus_musculus)",1973.25,0,2.57571,4.08312,2.21961,1.15030620788449
"chr1","EviAnn","gene",6162041,6206735,".","+",".","LOC_00000035","geneID=LOC_00000035","protein_coding","Arf6:_ADP-ribosylation_factor_6_(Rattus_norvegicus)",960,5.99865,25.978,15.4912,15.8226166666667,3.98391630025159
"chr1","EviAnn","gene",6241383,6252536,".","-",".","LOC_00000036","geneID=LOC_00000036","protein_coding","Vcpkmt:_Protein_N-lysine_methyltransferase_METTL21D_(Mus_musculus)",616.277,349.428,338.807,625.674,437.969666666667,8.77468714347107
"chr1","EviAnn","gene",6241431,6249685,".","-",".","LOC_00000037","geneID=LOC_00000037","protein_coding","function_unknown",573,35.1506,61.5281,0,32.2262333333333,5.01016366805412
"chr1","EviAnn","gene",6252681,6304380,".","-",".","LOC_00000038","geneID=LOC_00000038","protein_coding","SOS2:_Son_of_sevenless_homolog_2_(Homo_sapiens)",3981,83.5187,38.4433,30.9502,50.9707333333333,5.67159720482582
"chr1","EviAnn","gene",6307606,6346315,".","-",".","LOC_00000039","geneID=LOC_00000039","protein_coding","L2HGDH:_L-2-hydroxyglutarate_dehydrogenase,_mitochondrial_(Bos_taurus)",786,69.1656,24.0172,0,31.0609333333333,4.95702927603373
"chr1","EviAnn","gene",6397940,6509961,".","-",".","LOC_00000042","geneID=LOC_00000042","protein_coding","MAP4K5:_Mitogen-activated_protein_kinase_kinase_kinase_kinase_5_(Homo_sapiens)",2617.5,0,1.68036,0,0.56012,-0.836192151898156
"chr1","EviAnn","gene",6548633,6593342,".","+",".","LOC_00000043","geneID=LOC_00000043","protein_coding","ATL1:_Atlastin-1_(Macaca_fascicularis)",1374,0,0,3.26948,1.08982666666667,0.124098697364089
"chr1","EviAnn","gene",6629968,6784357,".","-",".","LOC_00000045","geneID=LOC_00000045","protein_coding","NIN:_Ninein_(Homo_sapiens)",5899.36,0,3.4432,0,1.14773333333333,0.198787482286019
"chr1","EviAnn","gene",6839434,6882891,".","-",".","LOC_00000047","geneID=LOC_00000047","protein_coding","PYGL:_Glycogen_phosphorylase,_liver_form_(Bos_taurus)",2580,0,1.69085,1.68843,1.12642666666667,0.171753393395703
"chr1","EviAnn","gene",6903486,6986488,".","-",".","LOC_00000048","geneID=LOC_00000048","protein_coding","TRIM9:_E3_ubiquitin-protein_ligase_TRIM9_(Bos_taurus)",2183.65,0,14.0055,0,4.6685,2.22295908308695
"chr1","EviAnn","gene",7037868,7083729,".","+",".","LOC_00000049","geneID=LOC_00000049","protein_coding","DDHD1:_Phospholipase_DDHD1_(Homo_sapiens)",2097,4.92746,12.1082,6.33684,7.79083333333333,2.96177765197976
"chr1","EviAnn","gene",7038022,7083729,".","+",".","LOC_00000050","geneID=LOC_00000050","protein_coding","function_unknown",327,1106.62,1075.75,971.165,1051.17833333333,10.0377917292147
"chr1","EviAnn","gene",7116644,7275712,".","+",".","LOC_00000051","geneID=LOC_00000051","protein_coding","FERMT2:_Fermitin_family_homolog_2_(Homo_sapiens)",2229,4.61194,0,6.51982,3.71058666666667,1.89164730387521
"chr1","EviAnn","gene",7292586,7323311,".","+",".","LOC_00000052","geneID=LOC_00000052","protein_coding","GNPNAT1:_Glucosamine_6-phosphate_N-acetyltransferase_(Pongo_abelii)",654,107.451,147.268,167.077,140.598666666667,7.13543910280175
"chr1","EviAnn","gene",7302367,7309702,".","+",".","LOC_00000053","geneID=LOC_00000053","protein_coding","function_unknown",840,162.569,184.141,134.036,160.248666666667,7.32416854286592
"chr1","EviAnn","gene",7373311,7395529,".","-",".","LOC_00000055","geneID=LOC_00000055","protein_coding","Psmc6:_26S_proteasome_regulatory_subunit_10B_(Mus_musculus)",1170,0,4.09545,0,1.36515,0.449059480351472
"chr1","EviAnn","gene",7440182,7468665,".","-",".","LOC_00000057","geneID=LOC_00000057","protein_coding","GPR137C:_Integral_membrane_protein_GPR137C_(Homo_sapiens)",744,8.24466,7.17709,0,5.14058333333333,2.36193208011102
"chr1","EviAnn","gene",7468779,7523387,".","+",".","LOC_00000058","geneID=LOC_00000058","protein_coding","TXNDC16:_Thioredoxin_domain-containing_protein_16_(Homo_sapiens)",2161.5,0,5.88918,0,1.96306,0.97310426876923
"chr1","EviAnn","gene",7554499,7571866,".","-",".","LOC_00000059","geneID=LOC_00000059","protein_coding","Ptger2:_Prostaglandin_E2_receptor_EP2_subtype_(Rattus_norvegicus)",1140,9.77662,29.5626,0,13.1130733333333,3.71293394697106
"chr1","EviAnn","gene",7590818,7611183,".","-",".","LOC_00000060","geneID=LOC_00000060","protein_coding","Ptgdr:_Prostaglandin_D2_receptor_(Mus_musculus)",1104,15.2287,26.3251,4.3651,15.3063,3.93605367643345
"chr1","EviAnn","gene",7681904,7751136,".","+",".","LOC_00000061","geneID=LOC_00000061","protein_coding","NID2:_Nidogen-2_(Homo_sapiens)",4620,0,14.6277,2.74168,5.78979333333333,2.53351185213568
"chr1","EviAnn","gene",8750719,8767424,".","+",".","LOC_00000067","geneID=LOC_00000067","protein_coding","CDKN3:_Cyclin-dependent_kinase_inhibitor_3_(Homo_sapiens)",572,0,0,9.12884,3.04294666666667,1.60546904814439
"chr1","EviAnn","gene",8819484,8821867,".","+",".","LOC_00000069","geneID=LOC_00000069","protein_coding","Heat_shock_70_kDa_protein_(Gallus_gallus)",1908,0,7.04354,0,2.34784666666667,1.23133819189645
"chr1","EviAnn","gene",8832563,8923960,".","+",".","LOC_00000070","geneID=LOC_00000070","protein_coding","CGRRF1:_Cell_growth_regulator_with_RING_finger_domain_protein_1_(Homo_sapiens)",438,17.4722,0,0,5.82406666666667,2.5420268698084
"chr1","EviAnn","gene",8832599,8851658,".","+",".","LOC_00000071","geneID=LOC_00000071","protein_coding","function_unknown",447,0,0,14.7098,4.90326666666667,2.29374322546529
"chr1","EviAnn","gene",8859194,9040348,".","+",".","LOC_00000072","geneID=LOC_00000072","protein_coding","SAMD4A:_Protein_Smaug_homolog_1_(Homo_sapiens)",2118,0,6.28089,0,2.09363,1.06600650228285
"chr1","EviAnn","gene",9148255,9199371,".","-",".","LOC_00000074","geneID=LOC_00000074","protein_coding","WDHD1:_WD_repeat_and_HMG-box_DNA-binding_protein_1_(Homo_sapiens)",3381,4.43789,2.16047,4.392,3.66345333333333,1.87320423811562
"chr1","EviAnn","gene",9238559,9253496,".","+",".","LOC_00000076","geneID=LOC_00000076","protein_coding","Mapk1ip1l:_MAPK-interacting_and_spindle-stabilizing_protein-like_(Mus_musculus)",726,8.51034,29.6517,5.63637,14.59947,3.86784409123577
"chr1","EviAnn","gene",9264024,9300546,".","+",".","LOC_00000078","geneID=LOC_00000078","protein_coding","Lgals3:_Galectin-3_(Rattus_norvegicus)",786.75,0,0,7.0427,2.34756666666667,1.23116612840246
"chr1","EviAnn","gene",9302288,9331752,".","-",".","LOC_00000079","geneID=LOC_00000079","protein_coding","DLGAP5:_Disks_large-associated_protein_5_(Homo_sapiens)",1695,18.6729,24.0986,25.4471,22.7395333333333,4.50713074205534
