"Chromosome","Start","Stop","Name","BioType","Function","Length","Fmean","Mmean","quotient","value"
"chr1",984400,1026088,"LOC_00000001","protein_coding","Tubgcp2:_Gamma-tubulin_complex_component_2_(Mus_musculus)",1854,3.69907333333333,6.99373333333333,0.528912550283111,-0.918898886162702
"chr1",1025711,1042526,"LOC_00000004","protein_coding","pol:_RNA-directed_DNA_polymerase_from_mobile_element_jockey_(Drosophila_melanogaster)",1020,468.971333333333,25.9411666666667,18.0782668474176,4.17618446896301
"chr1",1107424,1118926,"LOC_00000006","protein_coding","pol:_RNA-directed_DNA_polymerase_from_mobile_element_jockey_(Drosophila_melanogaster)",2886,674.637,191.698,3.51926989326962,1.81527615880219
"chr1",1487338,1588891,"LOC_00000007","protein_coding","LRFN5:_Leucine-rich_repeat_and_fibronectin_type-III_domain-containing_protein_5_(Homo_sapiens)",2073,2.50132666666667,1.72158333333333,1.45292221307905,0.538957465662317
"chr1",3371189,3390843,"LOC_00000010","protein_coding","tc1a:_Transposable_element_Tc1_transposase_(Caenorhabditis_elegans)",609,3.13623,4.74104,0.661506758010901,-0.596172199609396
"chr1",3414851,3466752,"LOC_00000013","protein_coding","Togaram1:_TOG_array_regulator_of_axonemal_microtubules_protein_1_(Mus_musculus)",1009.5,64.4592,66.2004666666667,0.973697063565514,-0.038455103761827
"chr1",3477124,3518037,"LOC_00000014","protein_coding","PRPF39:_Pre-mRNA-processing_factor_39_(Homo_sapiens)",1342.58,72.1685333333333,59.3307333333333,1.21637689741461,0.282590320707018
"chr1",3521818,3536191,"LOC_00000015","protein_coding","FKBP3:_Peptidyl-prolyl_cis-trans_isomerase_FKBP3_(Bos_taurus)",678,16.9352333333333,234.920666666667,0.0720891591771406,-3.79407386758043
"chr1",3528534,3596164,"LOC_00000016","protein_coding","FANCM:_Fanconi_anemia_group_M_protein_(Gallus_gallus)",6042,2.19746333333333,1.58768,1.38407193725016,0.468918929114042
"chr1",3592972,3629693,"LOC_00000017","protein_coding","MIS18BP1:_Mis18-binding_protein_1_(Homo_sapiens)",2281.3,26.0779333333333,57.0658,0.456980070959022,-1.12979684460514
"chr1",4548991,4549821,"LOC_00000021","protein_coding","F52C9.6:_Putative_uncharacterized_transposon-derived_protein_F52C9.6_(Caenorhabditis_elegans)",753,26.6061333333333,5.96537666666667,4.46009276866004,2.15707371810385
"chr1",5759677,5782594,"LOC_00000023","protein_coding","pol:_RNA-directed_DNA_polymerase_from_mobile_element_jockey_(Drosophila_melanogaster)",789,27.5279666666667,105.600933333333,0.260679198542437,-1.939652630376
"chr1",5761831,5782581,"LOC_00000024","protein_coding","function_unknown",603,103.547666666667,24.5947,4.21016180992924,2.07387568172313
"chr1",5805157,5818362,"LOC_00000025","protein_coding","function_unknown",339,356.858333333333,112.577666666667,3.16988567892388,1.66443081089351
"chr1",5931556,5937422,"LOC_00000026","protein_coding","rps29:_Small_ribosomal_subunit_protein_uS14_(Ictalurus_punctatus)",171,109.246266666667,155.213666666667,0.703844377964999,-0.506671614827055
"chr1",5937462,5953984,"LOC_00000027","protein_coding","SCAND3:_SCAN_domain-containing_protein_3_(Homo_sapiens)",1287,7.50565333333333,146.273,0.0513126368730616,-4.28454202458565
"chr1",5966276,5982187,"LOC_00000029","protein_coding","LRR1:_Leucine-rich_repeat_protein_1_(Homo_sapiens)",1674,29.3759666666667,30.5302,0.962193718569373,-0.0556007136946185
"chr1",5988509,6015265,"LOC_00000030","protein_coding","DNAAF2:_Protein_kintoun_(Homo_sapiens)",2955,248.79,79.3364,3.13588718419288,1.64887365839027
