"Chromosome","Source","Type","Start","Stop","Score","Strand","Phase","Name","GeneID","BioType","Function","Length","SRR2889295","SRR2889296","SRR2889297","Mmean","value"
"NC_052532.1","Gnomon","gene",60808,79345,".","-",".","gene-CARMIL3","Name=CARMIL3","protein_coding","Dbxref=CGNC:68591,GeneID:101749117",3282,1.9247,2.2616,1.7716,1.98596666666667,0.989841408244799
"NC_052532.1","BestRefSeq%2CGnomon","gene",79763,83193,".","+",".","gene-DHRS4","Name=DHRS4","protein_coding","Dbxref=CGNC:52723,GeneID:426247",807.28,192.945,208.003,198.17,199.706,7.64173386777549
"NC_052532.1","Gnomon","gene",85609,88122,".","-",".","gene-LOC121106805","Name=LOC121106805","protein_coding","Dbxref=CGNC:86686,GeneID:121106805",1848,0.20859,0.338559,0.160027,0.235725333333333,-2.08482128194891
"NC_052532.1","Gnomon","gene",130937,295852,".","-",".","gene-CLC2DL4","Name=CLC2DL4","protein_coding","Dbxref=GeneID:100857569",1140,19.7955,14.3624,23.6656,19.2745,4.2686215305464
"NC_052532.1","Gnomon","gene",144033,146764,".","+",".","gene-LOC121113333","Name=LOC121113333","protein_coding","Dbxref=CGNC:93177,GeneID:121113333",768,17.1311,4.61088,23.1234,14.9551266666667,3.90256822470925
"NC_052532.1","Gnomon","gene",150386,251040,".","+",".","gene-LOC112532872","Name=LOC112532872","protein_coding","Dbxref=CGNC:85838,GeneID:112532872",668.01,51.0737,36.2076,44.3459,43.8757333333333,5.45535133352443
"NC_052532.1","Gnomon","gene",157340,160056,".","+",".","gene-LOC776463","Name=LOC776463","protein_coding","Dbxref=GeneID:776463",597,12.3125,11.3561,10.4243,11.3643,3.50643691695507
"NC_052532.1","Gnomon","gene",163188,167315,".","-",".","gene-LOC121113327","Name=LOC121113327","protein_coding","Dbxref=CGNC:93171,GeneID:121113327",871.094,20.364,15.0415,21.3028,18.9027666666667,4.24052550204084
"NC_052532.1","Gnomon","gene",174396,177013,".","+",".","gene-LOC121113351","Name=LOC121113351","protein_coding","Dbxref=CGNC:93195,GeneID:121113351",768,3.25596,0,5.72654,2.99416666666667,1.58215452950628
"NC_052532.1","Gnomon","gene",187294,189883,".","+",".","gene-LOC121109244","Name=LOC121109244","protein_coding","Dbxref=CGNC:89110,GeneID:121109244",768,4.25918,2.33648,3.62371,3.40645666666667,1.76827185444459
