"Chromosome","Source","Type","Start","Stop","Score","Strand","Phase","Name","GeneID","BioType","Function","Length","SRR2889291","SRR2889292","SRR2889293","Fmean","value"
"NC_052532.1","Gnomon","gene",60808,79345,".","-",".","gene-CARMIL3","Name=CARMIL3","protein_coding","Dbxref=CGNC:68591,GeneID:101749117",3282,1.72003,1.27664,2.02642,1.67436333333333,0.743612623659572
"NC_052532.1","BestRefSeq%2CGnomon","gene",79763,83193,".","+",".","gene-DHRS4","Name=DHRS4","protein_coding","Dbxref=CGNC:52723,GeneID:426247",815.363,171.102,153.313,209.787,178.067333333333,7.47627906634572
"NC_052532.1","Gnomon","gene",85609,88122,".","-",".","gene-LOC121106805","Name=LOC121106805","protein_coding","Dbxref=CGNC:86686,GeneID:121106805",1848,0.566269,0.784265,2.28727,1.21260133333333,0.278105313888511
"NC_052532.1","Gnomon","gene",130937,295852,".","-",".","gene-CLC2DL4","Name=CLC2DL4","protein_coding","Dbxref=GeneID:100857569",1140,25.1327,19.7138,12.0833,18.9766,4.24614962557426
"NC_052532.1","Gnomon","gene",144033,146764,".","+",".","gene-LOC121113333","Name=LOC121113333","protein_coding","Dbxref=CGNC:93177,GeneID:121113333",754.365,12.4365,15.5549,5.96121,11.3175366666667,3.50048807553828
"NC_052532.1","Gnomon","gene",150386,251040,".","+",".","gene-LOC112532872","Name=LOC112532872","protein_coding","Dbxref=CGNC:85838,GeneID:112532872",672.536,42.278,36.7088,20.7744,33.2537333333333,5.05544441321948
"NC_052532.1","Gnomon","gene",157340,160056,".","+",".","gene-LOC776463","Name=LOC776463","protein_coding","Dbxref=GeneID:776463",597,10.57,12.1686,11.0796,11.2727333333333,3.49476546739186
"NC_052532.1","Gnomon","gene",163188,167315,".","-",".","gene-LOC121113327","Name=LOC121113327","protein_coding","Dbxref=CGNC:93171,GeneID:121113327",860.021,17.6437,17.4454,17.3048,17.4646333333333,4.12636444882915
"NC_052532.1","Gnomon","gene",174396,177013,".","+",".","gene-LOC121113351","Name=LOC121113351","protein_coding","Dbxref=CGNC:93195,GeneID:121113351",597,3.97024,2.42899,3.64137,3.34686666666667,1.74281107771391
"NC_052532.1","Gnomon","gene",187294,189883,".","+",".","gene-LOC121109244","Name=LOC121109244","protein_coding","Dbxref=CGNC:89110,GeneID:121109244",768,4.33172,4.4214,7.37722,5.37678,2.42674244252611
"NC_052532.1","Gnomon","gene",202153,205570,".","+",".","gene-LOC121109239","Name=LOC121109239","protein_coding","Dbxref=CGNC:89105,GeneID:121109239",597,5.45672,5.57261,8.56053,6.52995333333333,2.70707268150997
"NC_052532.1","Gnomon","gene",219372,220976,".","+",".","gene-LOC101747821","Name=LOC101747821","protein_coding","Dbxref=CGNC:67314,GeneID:101747821",612,0.709163,0,0,0.236387666666667,-2.08077332884317
"NC_052532.1","Gnomon","gene",235495,237160,".","+",".","gene-LOC121113360","Name=LOC121113360","protein_coding","Dbxref=CGNC:93204,GeneID:121113360",597,5.00001,5.82344,1.92059,4.24801333333333,2.08678829436798
"NC_052532.1","Gnomon","gene",254982,257868,".","+",".","gene-LOC121113328","Name=LOC121113328","protein_coding","Dbxref=CGNC:93172,GeneID:121113328",756,6.69658,3.85137,8.58755,6.3785,2.67321719248624
"NC_052532.1","Gnomon","gene",261564,396399,".","+",".","gene-LOC107055489","Name=LOC107055489","protein_coding","Dbxref=CGNC:78445,GeneID:107055489",595.972,65.8124,58.5175,54.4241,59.5846666666667,5.89686921466821
"NC_052532.1","Gnomon","gene",263808,268117,".","+",".","gene-LOC121106485","Name=LOC121106485","protein_coding","Dbxref=CGNC:86367,GeneID:121106485",663.63,28.2043,18.4158,27.5239,24.7146666666667,4.62729554348158
"NC_052532.1","Gnomon","gene",281015,284230,".","+",".","gene-CLC2DL5","Name=CLC2DL5","protein_coding","Dbxref=GeneID:776458",567.515,52.4752,44.2309,23.5636,40.0899,5.3251669137309
"NC_052532.1","Gnomon","gene",302848,305571,".","-",".","gene-LOC121109243","Name=LOC121109243","protein_coding","Dbxref=CGNC:89109,GeneID:121109243",768,19.9718,15.8651,13.977,16.6046333333333,4.05351396021385
"NC_052532.1","Gnomon","gene",332452,335004,".","-",".","gene-LOC121113331","Name=LOC121113331","protein_coding","Dbxref=CGNC:93175,GeneID:121113331",618.977,12.2186,10.3015,9.7827,10.7676,3.42862481701221
"NC_052532.1","Gnomon","gene",364859,378030,".","+",".","gene-LOC121109235","Name=LOC121109235","protein_coding","Dbxref=CGNC:89101,GeneID:121109235",1081.35,46.2111,58.0333,41.254,48.4994666666667,5.59989697741216
"NC_052532.1","Gnomon","gene",410765,414113,".","-",".","gene-CD69L","Name=CD69L","protein_coding","Dbxref=CGNC:50599,GeneID:417816",597,31.2673,26.1252,62.425,39.9391666666667,5.31973232605658
"NC_052532.1","Gnomon","gene",417860,422416,".","+",".","gene-LOC124418404","Name=LOC124418404","protein_coding","Dbxref=GeneID:124418404",609,2.08848,1.64932,0.846249,1.52801633333333,0.611659964769643
"NC_052532.1","Gnomon","gene",417860,421495,".","+",".","gene-LOC121113329","Name=LOC121113329","protein_coding","Dbxref=CGNC:93173,GeneID:121113329",978,3.34679,3.42372,3.68235,3.48428666666667,1.80086332530439
"NC_052532.1","Gnomon","gene",429715,436651,".","+",".","gene-LOC107049847","Name=LOC107049847","protein_coding","Dbxref=CGNC:72863,GeneID:107049847",792.719,10.6918,11.8809,12.7356,11.7694333333333,3.55697295503684
"NC_052532.1","Gnomon","gene",444128,446305,".","-",".","gene-LOC121113363","Name=LOC121113363","protein_coding","Dbxref=CGNC:93207,GeneID:121113363",978,0,0.458623,0.49183,0.316817666666667,-1.6582753083911
"NC_052532.1","Gnomon","gene",456863,493923,".","+",".","gene-GOLGB1","Name=GOLGB1","protein_coding","Dbxref=CGNC:7433,GeneID:426868",9531,2.70827,2.41691,4.40875,3.17797666666667,1.66810853217294
"NC_052532.1","BestRefSeq%2CGnomon","gene",495336,507494,".","+",".","gene-HCLS1","Name=HCLS1","protein_coding","Dbxref=CGNC:7430,GeneID:426867",1546.12,5.78384,2.16342,4.41663,4.12129666666667,2.04309831805275
"NC_052532.1","Gnomon","gene",520731,524108,".","-",".","gene-NME6","Name=NME6","protein_coding","Dbxref=CGNC:7425,GeneID:426866",561,0.932458,1.84031,2.83514,1.86930266666667,0.902500180825582
"NC_052532.1","BestRefSeq%2CGnomon","gene",524142,528113,".","+",".","gene-RABL2A","Name=RABL2A","protein_coding","Dbxref=CGNC:52914,GeneID:426865",725.363,1.33407,1.08871,1.11621,1.17966333333333,0.238375184474937
"NC_052532.1","Gnomon","gene",529035,531524,".","-",".","gene-ACR","Name=ACR","protein_coding","Dbxref=CGNC:16917,GeneID:426864",1065,0,0.207584,0,0.0691946666666667,-3.85319534656698
"NC_052532.1","Gnomon","gene",532303,537908,".","-",".","gene-ARSA","Name=ARSA","protein_coding","Dbxref=CGNC:7409,GeneID:426863",1307.21,6.97609,6.10183,6.64825,6.57539,2.7170764661737
"NC_052532.1","Gnomon","gene",565904,848673,".","+",".","gene-SHANK3","Name=SHANK3","protein_coding","Dbxref=CGNC:68428,GeneID:101748950",5625,5.48338,6.54082,6.4902,6.17146666666667,2.62561339071596
"NC_052532.1","Gnomon","gene",843258,848673,".","+",".","gene-LOC121109250","Name=LOC121109250","protein_coding","Dbxref=CGNC:89116,GeneID:121109250",1275,7.1755,4.7304,7.25015,6.38535,2.67476570049579
"NC_052532.1","Gnomon","gene",844264,848673,".","+",".","gene-LOC124417014","Name=LOC124417014","protein_coding","Dbxref=GeneID:124417014",909,5.31365,4.25116,6.14117,5.23532666666667,2.38827955925285
"NC_052532.1","Gnomon","gene",844264,848673,".","+",".","gene-LOC124417137","Name=LOC124417137","protein_coding","Dbxref=GeneID:124417137",1422,10.1257,10.7616,10.0762,10.3211666666667,3.36753415179994
"NC_052532.1","Gnomon","gene",973215,989435,".","+",".","gene-PAX4","Name=PAX4","protein_coding","Dbxref=CGNC:77943,GeneID:107054978",1011,0,0.44111,0.225564,0.222224666666667,-2.16990913188415
"NC_052532.1","BestRefSeq%2CGnomon","gene",994957,1005851,".","-",".","gene-ARF5","Name=ARF5","protein_coding","Dbxref=CGNC:49726,GeneID:396265",543,8.28711,6.73365,2.96499,5.99525,2.58381991481383
"NC_052532.1","BestRefSeq","gene",1006182,1011082,".","+",".","gene-GCC1","Name=GCC1","protein_coding","Dbxref=CGNC:10143,GeneID:430581",2355,2.70426,2.24415,2.2897,2.41270333333333,1.27065053227924
"NC_052532.1","Gnomon","gene",1012012,1031255,".","-",".","gene-DENND6B","Name=DENND6B","protein_coding","Dbxref=CGNC:10312,GeneID:426252",1719,1.71576,0.966671,2.47535,1.71926033333333,0.781788016701919
"NC_052532.1","Gnomon","gene",1038412,1109892,".","+",".","gene-PPP6R2","Name=PPP6R2","protein_coding","Dbxref=CGNC:10141,GeneID:430580",2790,20.768,10.8884,17.7264,16.4609333333333,4.04097423363579
"NC_052532.1","Gnomon","gene",1119024,1180429,".","-",".","gene-SBF1","Name=SBF1","protein_coding","Dbxref=CGNC:9447,GeneID:417071",5700.87,19.623,18.6735,22.4948,20.2637666666667,4.34083046479316
"NC_052532.1","Gnomon","gene",1180497,1183491,".","+",".","gene-ADM2","Name=ADM2","protein_coding","Dbxref=CGNC:70814,GeneID:112532887",471,0,0.587755,0,0.195918333333333,-2.35167568874933
"NC_052532.1","Gnomon","gene",1184775,1188178,".","+",".","gene-MIOX","Name=MIOX","protein_coding","Dbxref=CGNC:75521,GeneID:107052518",834,0,0,0.281471,0.0938236666666667,-3.41390430673608
"NC_052532.1","BestRefSeq%2CGnomon","gene",1188297,1195042,".","-",".","gene-LMF2","Name=LMF2","protein_coding","Dbxref=CGNC:53638,GeneID:429380",2142.82,45.9406,51.8472,45.3091,47.6989666666667,5.57588610742793
"NC_052532.1","Gnomon","gene",1194971,1204574,".","+",".","gene-NCAPH2","Name=NCAPH2","protein_coding","Dbxref=CGNC:10337,GeneID:426276",1846.43,3.17403,4.75418,3.40091,3.77637333333333,1.91700139698904
"NC_052532.1","Gnomon","gene",1204678,1205929,".","-",".","gene-SCO2","Name=SCO2","protein_coding","Dbxref=CGNC:66581,GeneID:429671",756,16.4689,16.2691,21.4729,18.0703,4.17554855266262
"NC_052532.1","BestRefSeq%2CGnomon","gene",1207608,1217623,".","+",".","gene-IRF5","Name=IRF5","protein_coding","Dbxref=CGNC:53929,GeneID:430409",1419,1.0604,0.898918,0.612125,0.857147666666667,-0.222384326236985
"NC_052532.1","Gnomon","gene",1218341,1241678,".","-",".","gene-TNPO3","Name=TNPO3","protein_coding","Dbxref=CGNC:10345,GeneID:426277",2631.94,17.3617,15.1014,16.6671,16.3767333333333,4.03357570621302
"NC_052532.1","Gnomon","gene",1235066,1238216,".","+",".","gene-LOC112532892","Name=LOC112532892","protein_coding","Dbxref=CGNC:85844,GeneID:112532892",792,0.299004,0.886232,1.51259,0.899275333333333,-0.153165198036224
"NC_052532.1","BestRefSeq","gene",1241744,1250136,".","+",".","gene-SMO","Name=SMO","protein_coding","Dbxref=CGNC:5983,GeneID:395949",2451,30.7639,25.7251,32.3217,29.6035666666667,4.88769909852287
"NC_052532.1","Gnomon","gene",1251066,1295884,".","+",".","gene-AHCYL2","Name=AHCYL2","protein_coding","Dbxref=CGNC:50318,GeneID:416675",1333.62,9.90622,9.00885,13.0405,10.6518566666667,3.41303301551056
"NC_052532.1","Gnomon","gene",1296502,1312012,".","+",".","gene-STRIP2","Name=STRIP2","protein_coding","Dbxref=CGNC:66264,GeneID:416676",2403,0.426886,1.35163,0.430945,0.736487,-0.441268034936566
"NC_052532.1","BestRefSeq%2CGnomon","gene",1330249,1378306,".","+",".","gene-NRF1","Name=NRF1","protein_coding","Dbxref=CGNC:6034,GeneID:416677",1514.88,8.45152,7.12028,6.13096,7.23425333333333,2.85484412002082
