Chromosome	Source	Type	Start	Stop	Score	Strand	Phase	Name	GeneID	BioType	Function	Chr	length	TPM_SRR6344892	TPM_SRR6344893	TPM_SRR6344900	Mmean	log_2
chr1	EviAnn	gene	984400	1026088	.	-	.	LOC_00000001	geneID=LOC_00000001	protein_coding	Tubgcp2:_Gamma-tubulin_complex_component_2_(Mus_musculus)	chr1	7106	69.4952781335	47.4187183457	62.9546228034	59.9562064275	5.9058371983
chr1	EviAnn	gene	1025528	1034673	.	+	.	LOC_00000002	geneID=LOC_00000002	protein_coding	ZNF511:_Zinc_finger_protein_511_(Homo_sapiens)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	1025711	1042526	.	+	.	LOC_00000004	geneID=LOC_00000004	protein_coding	pol:_RNA-directed_DNA_polymerase_from_mobile_element_jockey_(Drosophila_melanogaster)	chr1	14286	10.8755916905	9.7773293736	11.1189718667	10.5906309769	3.4047166408
chr1	EviAnn	gene	1026097	1034673	.	+	.	LOC_00000003	geneID=LOC_00000003	protein_coding	function_unknown	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	1047271	1055060	.	+	.	LOC_00000005	geneID=LOC_00000005	protein_coding	CYB561:_Transmembrane_ascorbate-dependent_reductase_CYB561_(Pongo_abelii)	chr1	2278	4.6168858831	5.0570287711	8.822031505	6.1653153864	2.6241746975
chr1	EviAnn	gene	1107424	1118926	.	-	.	LOC_00000006	geneID=LOC_00000006	protein_coding	pol:_RNA-directed_DNA_polymerase_from_mobile_element_jockey_(Drosophila_melanogaster)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	1487338	1588891	.	+	.	LOC_00000007	geneID=LOC_00000007	protein_coding	LRFN5:_Leucine-rich_repeat_and_fibronectin_type-III_domain-containing_protein_5_(Homo_sapiens)	chr1	3313	2.7416520977	0.724413393	0.3323824001	1.2661492969	0.340447529
chr1	EviAnn	gene	3094764	3111578	.	-	.	LOC_00000008	geneID=LOC_00000008	protein_coding	function_unknown	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	3345796	3346116	.	-	.	LOC_00000009	geneID=LOC_00000009	protein_coding	A551L:_Deoxyuridine_5'-triphosphate_nucleotidohydrolase_(Paramecium_bursaria_Chlorella_virus_1)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	3363459	3369356	.	+	.	XLOC_000005U_lncRNA	geneID=XLOC_000005U_lncRNA	lncRNA	function_unknown	chr1	1071	2.2318279522	9.4116924352	1.0281819715	4.2239007863	2.0785759481
chr1	EviAnn	gene	3371189	3390843	.	-	.	LOC_00000010	geneID=LOC_00000010	protein_coding	tc1a:_Transposable_element_Tc1_transposase_(Caenorhabditis_elegans)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	3373719	3391684	.	-	.	LOC_00000011	geneID=LOC_00000011	protein_coding	TMX1:_Thioredoxin-related_transmembrane_protein_1_(Homo_sapiens)	chr1	12176	2.0220075303	2.1287615774	1.3791917784	1.8433202954	0.8823067755
chr1	EviAnn	gene	3392570	3452900	.	-	.	LOC_00000012	geneID=LOC_00000012	protein_coding	Klhl28:_Kelch-like_protein_28_(Mus_musculus)	chr1	12146	31.979397104	31.6546227293	31.3237847017	31.6526015117	4.9842521738
chr1	EviAnn	gene	3414851	3466752	.	+	.	LOC_00000013	geneID=LOC_00000013	protein_coding	Togaram1:_TOG_array_regulator_of_axonemal_microtubules_protein_1_(Mus_musculus)	chr1	5313	97.8519824483	66.6736833946	78.1377658699	80.8878105709	6.3378504063
chr1	EviAnn	gene	3477124	3518037	.	+	.	LOC_00000014	geneID=LOC_00000014	protein_coding	PRPF39:_Pre-mRNA-processing_factor_39_(Homo_sapiens)	chr1	5136	159.2594360442	142.9428276014	125.4267896189	142.5430177548	7.1552535626
chr1	EviAnn	gene	3521818	3536191	.	-	.	LOC_00000015	geneID=LOC_00000015	protein_coding	FKBP3:_Peptidyl-prolyl_cis-trans_isomerase_FKBP3_(Bos_taurus)	chr1	8851	72.1056180904	51.4378605823	63.1397940795	62.227757584	5.9594863536
chr1	EviAnn	gene	3528534	3596164	.	+	.	LOC_00000016	geneID=LOC_00000016	protein_coding	FANCM:_Fanconi_anemia_group_M_protein_(Gallus_gallus)	chr1	12896	143.8509857714	95.824326217	117.9655834756	119.2136318213	6.8974054041
chr1	EviAnn	gene	3592972	3629693	.	-	.	LOC_00000017	geneID=LOC_00000017	protein_coding	MIS18BP1:_Mis18-binding_protein_1_(Homo_sapiens)	chr1	4406	2.7125371502	4.0853068049	3.0616183432	3.2864874328	1.7165464683
chr1	EviAnn	gene	3743897	3751391	.	-	.	LOC_00000018	geneID=LOC_00000018	protein_coding	function_unknown	chr1	7495	1.0843199873	0.8645697454	3.0853690087	1.6780862471	0.7468168666
chr1	EviAnn	gene	4082487	4088442	.	+	.	XLOC_000006U_lncRNA	geneID=XLOC_000006U_lncRNA	lncRNA	function_unknown	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	4301178	4980788	.	-	.	LOC_00000019	geneID=LOC_00000019	protein_coding	MDGA2:_MAM_domain-containing_glycosylphosphatidylinositol_anchor_protein_2_(Homo_sapiens)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	4359741	4360256	.	+	.	LOC_00000020	geneID=LOC_00000020	processed_pseudogene	pseudo=true	chr1	516	396.9915872892	668.3669607537	400.6726509007	488.6770663145	8.9327375901
chr1	EviAnn	gene	4548991	4549821	.	+	.	LOC_00000021	geneID=LOC_00000021	protein_coding	F52C9.6:_Putative_uncharacterized_transposon-derived_protein_F52C9.6_(Caenorhabditis_elegans)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	5692739	5705226	.	-	.	LOC_00000022	geneID=LOC_00000022	protein_coding	Hjv:_Hemojuvelin_(Mus_musculus)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	5759677	5782594	.	+	.	LOC_00000023	geneID=LOC_00000023	protein_coding	pol:_RNA-directed_DNA_polymerase_from_mobile_element_jockey_(Drosophila_melanogaster)	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	5761831	5782581	.	+	.	LOC_00000024	geneID=LOC_00000024	protein_coding	function_unknown	NA	NA	NA	NA	NA	NA	NA
chr1	EviAnn	gene	5805157	5818362	.	-	.	LOC_00000025	geneID=LOC_00000025	protein_coding	function_unknown	chr1	10881	5.3600791083	14.336807473	18.4694309057	12.722105829	3.6692655876
chr1	EviAnn	gene	5931556	5937422	.	+	.	LOC_00000026	geneID=LOC_00000026	protein_coding	rps29:_Small_ribosomal_subunit_protein_uS14_(Ictalurus_punctatus)	chr1	3601	15.7316910196	25.6593419835	19.265349114	20.218794039	4.3376250444
chr1	EviAnn	gene	5937462	5953984	.	+	.	LOC_00000027	geneID=LOC_00000027	protein_coding	SCAND3:_SCAN_domain-containing_protein_3_(Homo_sapiens)	chr1	8382	79.3340549236	70.7224347447	77.0841161468	75.7135352717	6.242479328
chr1	EviAnn	gene	5954052	5959849	.	-	.	LOC_00000028	geneID=LOC_00000028	protein_coding	rps29:_Small_ribosomal_subunit_protein_uS14_(Ictalurus_punctatus)	chr1	3538	37.293353044	55.2172130801	50.9662799521	47.8256153587	5.5797116263
